id,user_id,created_at,message,category
1,263767,2023-09-27 09:46:45.27038+00,So many pimples on my face,Pimples and Acne Removal
2,263767,2023-09-27 09:47:45.573763+00,"I'm using truderma face cleanser, hyalugel moisturizer",Product Recommendations
3,263767,2023-09-27 09:49:29.663245+00,"My skin is oily,acne prone , to have clear skin",Skin Type Specific Concerns
4,263767,2023-09-27 09:50:03.055805+00,How can I get rid of my pimples and acne prone oily skin,Pimples and Acne Removal
5,263849,2023-09-27 10:19:24.193526+00,Pimples,Pimples and Acne Removal
6,263861,2023-09-27 10:37:56.183569+00,"my skin is very dry, open pore, my skin is very alergic to many products, after a wash my skin feels dry",General Skincare and Skincare Issues
7,263897,2023-09-27 11:00:18.098435+00,Skin is very oily,Skin Type Specific Concerns
8,263897,2023-09-27 11:00:30.814655+00,Then answer,Other
9,263410,2023-09-27 11:01:15.11491+00,I have a lot of pimples and acnes so I want to disappear them..,Pimples and Acne Removal
10,263410,2023-09-27 11:02:43.577421+00,I don't wear much products for my skin..and I want to have clear skin,General Skincare and Skincare Issues
11,263088,2023-09-27 11:23:39.558196+00,"I used to have pretty decent skin but recently I've been breaking out and I have scars and pigmentation left behind. i can't stop picking my pimples if i get them. i have normal skin and have pigmentation near the corners of my mouth, forehead and undereyes. i want to have clear skin which glows. currently I use Salicylic acid+LHA 02% cleanser, Vitamin B5 10% moisturizer, Alpha Arbutin 02% face serum, Salicylic acid 02% face serum, Polyhydroxy acid 03% toner, Niacinamide 5%. I can spend almost 30-45 minutes on my routine and there's no time restriction.",Product Recommendations
12,263088,2023-09-27 11:24:19.420525+00,suggest me a good skin care routine for 7 days a week,Skincare Routine Advice
13,260717,2023-09-27 11:37:37.752643+00,Current activity,Lifestyle and Habits
14,263966,2023-09-27 11:43:22.182571+00,Most time oily skik is what i feel like when i do face wash after face wash it feels dry and after applying cream it starts feeling oily i have black heads on nose,Skin Type Specific Concerns
15,263966,2023-09-27 11:43:58.254408+00,How can i remove blackheads,Pimples and Acne Removal
16,263966,2023-09-27 11:45:12.978156+00,"Oily skin, blackheads",Skin Type Specific Concerns
17,263966,2023-09-27 11:45:34.208919+00,Products to remove blackheads,Pimples and Acne Removal
18,263966,2023-09-27 11:46:50.202775+00,"Morning and evening both, nose, currently using Nivea cream only in morning",Skincare Routine Advice
19,263966,2023-09-27 11:47:16.894642+00,What skin care routine and cream should i do,Skincare Routine Advice
20,234263,2023-09-27 12:46:27.300507+00,Write a message,Other
21,264109,2023-09-27 13:21:44.461329+00,skin tipe: oily,Skin Type Specific Concerns
22,263460,2023-09-27 13:22:09.433861+00,Pimples coming,Pimples and Acne Removal
23,264109,2023-09-27 13:22:26.54141+00,"my primary goal is to have a clear skin, I don't prefer any brands or ingredients and i like a daily routine",Skincare Routine Advice
24,263460,2023-09-27 13:22:49.926781+00,How to clear my pimples,General Skincare and Skincare Issues
25,264182,2023-09-27 14:04:32.53647+00,I have digestive problems,General Health Concerns
26,264182,2023-09-27 14:04:51.974175+00,Lactose intolerance,Diet and Nutrition
27,261156,2023-09-27 14:21:14.684337+00,"Im having acne and pimple, right now im just using a facewash from chemist and i think its doing good my skin always feels dull and oily",Pimples and Acne Removal
28,261156,2023-09-27 14:21:45.815487+00,I want get rid of pimples and make skin glow and brighten,Pimples and Acne Removal
29,261156,2023-09-27 14:23:03.572733+00,Morning,Skincare Routine Advice
30,261156,2023-09-27 14:23:11.755005+00,Ok,Miscellaneous and Feedback
31,264201,2023-09-27 14:29:48.812414+00,I have alot of acnes,Pimples and Acne Removal
32,264201,2023-09-27 14:30:06.957115+00,How to treat acne and pigmentation?,Pimples and Acne Removal
33,264204,2023-09-27 14:31:02.512329+00,Sleep quality,Sleep Concerns
34,264204,2023-09-27 14:31:48.95014+00,Whatt,Other
35,264226,2023-09-27 14:47:23.074099+00,I good with it,General Skincare and Skincare Issues
36,264226,2023-09-27 14:48:08.213417+00,But I don't have a skincare routine and any products,Product and Routine Questions
37,264226,2023-09-27 14:54:41.563277+00,But I don't have and products to use,Product and Routine Questions
38,264226,2023-09-27 14:55:15.725541+00,Will ctaphil work?,Other
39,264228,2023-09-27 14:56:22.246101+00,"Dry skin, i want to hydrate my skin",General Skincare and Skincare Issues
40,264226,2023-09-27 14:56:26.038568+00,Give me a homemade skin care routines,Skincare Routine Advice
41,264228,2023-09-27 14:57:01.367162+00,Give me some recommendation about skin products,Product and Routine Questions
42,264226,2023-09-27 14:57:16.423083+00,"How do u make things for your face for pimples, acne and oil on the face",Pimples and Acne Removal
43,264228,2023-09-27 14:58:17.737455+00,Meal type,Skin Type Specific Concerns
44,264228,2023-09-27 14:58:38.119765+00,Give me some meal plans,Diet and Nutrition
45,146075,2023-09-27 15:17:44.188542+00,Many pimples on head,Pimples and Acne Removal
46,146075,2023-09-27 15:18:16.941354+00,So what can I do to remove it,Pimples and Acne Removal
47,264226,2023-09-27 15:22:17.22557+00,"Sleep duration, wake up time, sleep quality and current habits",Sleep Concerns
48,264226,2023-09-27 15:22:42.066499+00,Help me with skin conditions,General Skincare and Skincare Issues
49,264292,2023-09-27 15:23:03.078633+00,Can u Recommend me some good skincare products or brands for my dry skin type and sensitive,Product Recommendations
50,264292,2023-09-27 15:24:33.200471+00,Is drunk elephant good for dry skin and Sensitive skin with acne,General Skincare and Skincare Issues
51,264287,2023-09-27 15:56:14.396835+00,My face suddenly got more small small pinples on face..,Pimples and Acne Removal
52,264287,2023-09-27 15:56:56.095145+00,Skin feel very oily,Skin Type Specific Concerns
53,264287,2023-09-27 15:57:51.540729+00,Oily,Skin Type Specific Concerns
54,264287,2023-09-27 15:58:20.835286+00,Any skin care products to make fresh skin,Product and Routine Questions
55,264287,2023-09-27 15:58:45.735464+00,Some product suggession for fresh skin,Product and Routine Questions
56,264376,2023-09-27 16:13:42.467336+00,Routine and enviormental factor,Skincare Routine Advice
57,264405,2023-09-27 16:41:22.423107+00,Less pimple and no pigmentation and scars  Cetaphil inisphree nutrogena derma co 1000,Pimples and Acne Removal
58,264405,2023-09-27 16:41:44.074988+00,Okay,Other
59,264427,2023-09-27 16:47:07.807309+00,Combination,Other
60,194832,2023-09-27 17:00:13.636732+00,I had combination skin and my skin is sensitive most of all products makes my skin more pimples and break outs,Pimples and Acne Removal
61,194832,2023-09-27 17:01:33.603604+00,I am not follow any diet and iam recently applied bengel on my face to treat acne by the priscription of a doctor,Pimples and Acne Removal
62,264453,2023-09-27 17:03:49.89641+00,What skincare products I want to use,Product and Routine Questions
63,264439,2023-09-27 17:04:16.979745+00,Products for oily skin,Skin Type Specific Concerns
64,264453,2023-09-27 17:04:19.963272+00,Send me skincare products,Product and Routine Questions
65,194832,2023-09-27 17:05:18.742322+00,I had sensitive and as well as combination skin and mosr of the products makea my skin more damage and also had pores on my face ... i aant to clear my face with in  1month and derdoc brand is ookey to me i want a daily plan,General Skincare and Skincare Issues
